variant,seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
pc1_no_qualification,11,6,blur_1.8_holdout,348,0.8362068965517241,1,50
pc1_no_qualification,11,6,resize_075,348,0.9540229885057471,1,16
pc1_no_qualification,11,6,resize_050,348,0.9310344827586207,1,21
pc1_no_qualification,11,6,crop_05,348,0.632183908045977,0,-1
pc1_no_qualification,11,6,crop_10,348,0.4281609195402299,0,-1
pc1_no_qualification,11,6,crop_08_holdout,348,0.5258620689655172,0,-1
pc1_no_qualification,11,6,crop_12_holdout,348,0.3793103448275862,0,-1
pc1_no_qualification,11,6,rotate_3,348,0.8879310344827587,1,37
pc1_no_qualification,11,6,rotate_7,348,0.7126436781609196,0,-1
pc1_no_qualification,11,6,rotate_5_holdout,348,0.7873563218390804,0,-1
pc1_no_qualification,11,6,rotate_9_holdout,348,0.6609195402298851,0,-1
pc1_no_qualification,11,7,clean,348,1.0,1,0
pc1_no_qualification,11,7,jpeg_80,348,1.0,1,0
pc1_no_qualification,11,7,jpeg_50,348,0.9942528735632183,1,2
pc1_no_qualification,11,7,gaussian_5,348,0.9367816091954023,1,22
pc1_no_qualification,11,7,gaussian_12,348,0.9281609195402298,1,25
pc1_no_qualification,11,7,gaussian_9_holdout,348,0.9281609195402298,1,25
pc1_no_qualification,11,7,gaussian_15_holdout,348,0.9310344827586207,1,24
pc1_no_qualification,11,7,blur_0.8,348,0.9511494252873564,1,16
pc1_no_qualification,11,7,blur_1.5,348,0.8764367816091954,1,40
pc1_no_qualification,11,7,blur_1.2_holdout,348,0.9051724137931034,1,32
pc1_no_qualification,11,7,blur_1.8_holdout,348,0.8505747126436781,1,47
pc1_no_qualification,11,7,resize_075,348,0.9597701149425287,1,13
pc1_no_qualification,11,7,resize_050,348,0.9396551724137931,1,20
pc1_no_qualification,11,7,crop_05,348,0.6379310344827587,0,-1
pc1_no_qualification,11,7,crop_10,348,0.4454022988505747,0,-1
pc1_no_qualification,11,7,crop_08_holdout,348,0.5373563218390804,0,-1
pc1_no_qualification,11,7,crop_12_holdout,348,0.3936781609195402,0,-1
pc1_no_qualification,11,7,rotate_3,348,0.8908045977011494,1,35
pc1_no_qualification,11,7,rotate_7,348,0.7270114942528736,0,-1
pc1_no_qualification,11,7,rotate_5_holdout,348,0.7931034482758621,0,-1
pc1_no_qualification,11,7,rotate_9_holdout,348,0.6752873563218391,0,-1
pc1_no_qualification,11,8,clean,348,1.0,1,0
pc1_no_qualification,11,8,jpeg_80,348,1.0,1,0
pc1_no_qualification,11,8,jpeg_50,348,0.9942528735632183,1,2
pc1_no_qualification,11,8,gaussian_5,348,0.9339080459770115,1,20
pc1_no_qualification,11,8,gaussian_12,348,0.9367816091954023,1,19
