seed,sequence,attack,covers,symbol_accuracy,message_success,rs_corrections
29,0,rotate_9_holdout,348,0.8563218390804598,1,44
29,1,clean,348,1.0,1,0
29,1,jpeg_80,348,1.0,1,0
29,1,jpeg_50,348,1.0,1,0
29,1,gaussian_5,348,0.9971264367816092,1,1
29,1,gaussian_12,348,1.0,1,0
29,1,gaussian_9_holdout,348,1.0,1,0
29,1,gaussian_15_holdout,348,0.9511494252873564,1,16
29,1,blur_0.8,348,1.0,1,0
29,1,blur_1.5,348,1.0,1,0
29,1,blur_1.2_holdout,348,1.0,1,0
29,1,blur_1.8_holdout,348,0.9655172413793104,1,11
29,1,resize_075,348,1.0,1,0
29,1,resize_050,348,1.0,1,0
29,1,crop_05,348,1.0,1,0
29,1,crop_10,348,1.0,1,0
29,1,crop_08_holdout,348,0.9913793103448276,1,3
29,1,crop_12_holdout,348,0.8333333333333334,1,54
29,1,rotate_3,348,1.0,1,0
29,1,rotate_7,348,1.0,1,0
29,1,rotate_5_holdout,348,1.0,1,0
29,1,rotate_9_holdout,348,0.8419540229885057,1,54
29,2,clean,348,1.0,1,0
29,2,jpeg_80,348,1.0,1,0
29,2,jpeg_50,348,1.0,1,0
29,2,gaussian_5,348,1.0,1,0
29,2,gaussian_12,348,1.0,1,0
29,2,gaussian_9_holdout,348,1.0,1,0
29,2,gaussian_15_holdout,348,0.9626436781609196,1,13
29,2,blur_0.8,348,1.0,1,0
29,2,blur_1.5,348,1.0,1,0
29,2,blur_1.2_holdout,348,1.0,1,0
29,2,blur_1.8_holdout,348,0.9626436781609196,1,11
29,2,resize_075,348,1.0,1,0
29,2,resize_050,348,1.0,1,0
29,2,crop_05,348,1.0,1,0
29,2,crop_10,348,1.0,1,0
29,2,crop_08_holdout,348,0.9942528735632185,1,2
29,2,crop_12_holdout,348,0.8390804597701149,1,50
29,2,rotate_3,348,1.0,1,0
29,2,rotate_7,348,1.0,1,0
29,2,rotate_5_holdout,348,1.0,1,0
29,2,rotate_9_holdout,348,0.8649425287356322,1,42
29,3,clean,348,1.0,1,0
29,3,jpeg_80,348,1.0,1,0
29,3,jpeg_50,348,1.0,1,0
29,3,gaussian_5,348,1.0,1,0
29,3,gaussian_12,348,1.0,1,0
29,3,gaussian_9_holdout,348,1.0,1,0
29,3,gaussian_15_holdout,348,0.9597701149425288,1,13
29,3,blur_0.8,348,1.0,1,0
29,3,blur_1.5,348,1.0,1,0
29,3,blur_1.2_holdout,348,1.0,1,0
29,3,blur_1.8_holdout,348,0.9655172413793104,1,11
29,3,resize_075,348,1.0,1,0
29,3,resize_050,348,1.0,1,0
29,3,crop_05,348,1.0,1,0
29,3,crop_10,348,1.0,1,0
29,3,crop_08_holdout,348,0.9913793103448276,1,3
29,3,crop_12_holdout,348,0.8333333333333334,1,51
29,3,rotate_3,348,1.0,1,0
29,3,rotate_7,348,1.0,1,0
29,3,rotate_5_holdout,348,1.0,1,0
29,3,rotate_9_holdout,348,0.8591954022988506,1,44
29,4,clean,348,1.0,1,0
29,4,jpeg_80,348,1.0,1,0
29,4,jpeg_50,348,1.0,1,0
29,4,gaussian_5,348,1.0,1,0
29,4,gaussian_12,348,1.0,1,0
29,4,gaussian_9_holdout,348,1.0,1,0
29,4,gaussian_15_holdout,348,0.9597701149425288,1,13
29,4,blur_0.8,348,1.0,1,0
29,4,blur_1.5,348,1.0,1,0
29,4,blur_1.2_holdout,348,1.0,1,0
29,4,blur_1.8_holdout,348,0.9597701149425288,1,13
29,4,resize_075,348,1.0,1,0
29,4,resize_050,348,1.0,1,0
29,4,crop_05,348,1.0,1,0
29,4,crop_10,348,1.0,1,0
29,4,crop_08_holdout,348,0.9942528735632185,1,2
29,4,crop_12_holdout,348,0.8275862068965517,1,53
29,4,rotate_3,348,1.0,1,0
29,4,rotate_7,348,1.0,1,0
29,4,rotate_5_holdout,348,1.0,1,0
29,4,rotate_9_holdout,348,0.8620689655172413,1,43
29,5,clean,348,1.0,1,0
29,5,jpeg_80,348,1.0,1,0
29,5,jpeg_50,348,1.0,1,0
29,5,gaussian_5,348,1.0,1,0
29,5,gaussian_12,348,0.9971264367816092,1,1
29,5,gaussian_9_holdout,348,1.0,1,0
29,5,gaussian_15_holdout,348,0.9597701149425288,1,14
